"Aantal WW-uitkeringen per maand naar geslacht, leeftijd en regio, 1998-2015"
"";"";"Onderwerpen";"Aantal WW-uitkeringen";"Aantal WW-uitkeringen per landsdeel";"Aantal WW-uitkeringen per landsdeel";"Aantal WW-uitkeringen per landsdeel";"Aantal WW-uitkeringen per landsdeel"
"";"";"Onderwerpen";"Aantal WW-uitkeringen";"Noord-Nederland";"Oost-Nederland";"West-Nederland";"Zuid-Nederland"
"Geslacht";"Leeftijd";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 januari";"460490";"54400";"103740";"194260";"101860"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 februari";"460070";"53770";"104310";"194090";"101580"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 maart";"453830";"51720";"102680";"193090";"100680"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 april";"443300";"49120";"100290";"190400";"98620"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 mei";"435550";"46870";"98980";"187930";"97070"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 juni";"430580";"46010";"98010";"185710";"96070"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 juli";"436960";"48250";"99270";"186840";"97980"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 augustus";"430400";"45940";"97490";"185440";"96960"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 september";"419890";"44780";"94950";"181370";"94480"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 oktober";"419430";"44620";"94070";"181830";"94270"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 november";"425210";"46490";"94750";"183800";"95350"
"Mannen en vrouwen";"15 tot 65 jaar";"2014 december";"440830";"50990";"99360";"186930";"98010"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 januari";"457610";"54370";"102520";"191830";"102570"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 februari";"455140";"53600";"102660";"190120";"103240"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 maart";"443150";"50860";"99890";"185880";"101370"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 april";"426860";"47150";"95830";"180820";"98080"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 mei";"416340";"45290";"92990";"177620";"95920"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 juni";"410180";"44040";"91460";"176390";"93410"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 juli";"420330";"46250";"93680";"179500";"95890"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 augustus";"419570";"45720";"94090";"178880";"95860"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 september";"416470";"45480";"93360";"177510";"95080"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 oktober";"420970";"45480";"93810";"179360";"97120"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 november*";"427400";"46590";"94790";"181950";"98130"
"Mannen en vrouwen";"15 tot 65 jaar";"2015 december*";"445880";"51650";"98350";"187690";"100920"
"ï¿½ Centraal Bureau voor de Statistiek, Den Haag/Heerlen 17-10-2017"
